,NDB1,NDB2,NDB3,NDB4,DCB1,DCB2,DCB3,DCB4,DCB5
LOC102723344,0,0,0,0,0,0,0,0,0
SRD5A3,676,1181,916,1060,1135,1381,2018,3524,1821
SRD5A2,0,0,0,0,0,0,0,0,0
SRD5A1,447,1490,608,302,1266,1067,1140,1880,546
EIF1AX-AS1,0,0,0,0,0,0,0,0,0
GGA1,1737,1007,1065,1752,1872,1967,1850,2042,1717
GGA3,1757,2789,2545,2017,3392,2538,3300,3772,2733
GGA2,2327,3646,3579,3251,7808,6438,3834,9310,4290
FHOD1,2722,1233,801,1925,1112,802,2138,1962,1637
FHOD3,6249,691,1151,989,444,80,1061,28,211
C4orf6,0,0,0,0,0,0,0,0,0
GJC2,427,92,108,893,639,306,186,0,14
GJC3,0,62,66,0,0,0,36,0,0
GJC1,52,743,149,58,96,68,143,174,46
PSMB9,1874,541,603,1216,6676,1819,1413,2406,1645
PSMB8,13341,3802,10680,14691,58152,15594,16244,33178,12598
STAMBPL1,293,281,455,810,617,239,681,928,540
PSMB6,726,1083,327,426,853,752,966,1016,244
PSMB5,1661,1363,867,728,854,1082,1577,2356,786
PSMB4,8763,9046,5133,4584,9548,4939,8287,10186,5820
PSMB3,2063,4005,1501,1198,3227,1758,2577,3286,1925
PSMB2,3339,4879,2878,2697,6316,4151,3789,4816,3661
PSMB1,2733,4625,2052,3315,3486,3958,2437,3666,1843
LMBR1L,594,1257,699,900,1169,968,1124,1106,1232
PNMA1,188,211,312,362,185,166,524,688,146
TDGF1,0,0,0,40,0,0,0,0,0
SNORD115-16,0,0,0,0,0,0,0,0,0
SNORD115-17,0,0,0,0,0,0,0,0,0
SNORD115-10,0,0,0,0,0,0,2,0,0
LTN1,2805,7368,5480,6378,8485,4490,5850,10438,7316
TRIML2,100,78,0,0,0,9,0,0,0
C9orf142,1153,1329,565,516,857,909,993,1214,1571
TRIML1,0,0,0,0,0,0,0,0,0
NACC2,445,565,226,488,427,636,793,512,810
VPS13D,14398,24810,22785,30331,28880,60711,43436,93126,34495
NACC1,1679,1022,397,547,822,521,1199,1260,1185
VPS13A,11933,22106,17188,37891,27122,24664,23026,59496,34871
SH3KBP1,1018,5954,1586,2135,1608,839,579,1976,392
VPS13C,6451,21119,23272,29604,24085,6803,15334,48266,20623
VPS13B,21038,34072,27801,41019,37933,33209,34760,82396,41091
BEX5,0,40,0,34,14,0,22,0,0
BEX4,0,12,16,54,0,368,36,0,14
LOC101929181,0,0,0,0,0,0,0,0,0
BEX2,0,48,137,65,0,255,0,0,0
BEX1,0,0,0,71,0,0,0,0,0
TMEM160,367,186,242,263,191,426,462,592,583
TMEM163,10,16,85,136,0,0,0,0,0
TMEM165,1104,2830,1696,1874,3333,2449,1149,4824,1881
TMEM164,1417,578,242,765,359,677,449,912,898
TMEM169,227,19,0,134,6,14,22,0,0
TMEM168,602,880,797,715,1684,1122,508,2102,514
EVI2B,1059,1574,2494,3522,3831,1256,878,5890,1667
FOXN1,0,560,1024,76,2434,3093,1704,634,662
FOXN2,709,1534,329,954,990,697,916,1018,1153
FOXN3,240,736,979,655,1482,1033,756,3574,909
NICN1,165,395,280,278,250,432,360,304,243
COL14A1,94,1795,1753,3127,547,239,13184,1508,441
IFFO1,312,814,315,278,409,165,551,852,142
IFFO2,1792,1895,2375,979,3735,5813,3031,1124,3017
SNAP91,0,8,0,0,0,0,0,14,0
LOC101926987,0,0,0,0,0,0,0,0,0
C11orf35,41,395,99,91,119,47,119,134,22
C11orf31,1430,1023,721,1413,1232,972,1487,1478,1726
C11orf30,1992,3888,2306,2910,5250,3463,3591,7120,3925
MACROD2,22,981,133,270,102,414,232,0,0
MACROD1,66,461,75,62,400,224,159,252,172
15.Sep,1220,1901,1553,1538,2022,1393,1320,3112,1047
LOC730183,0,0,0,0,0,15,0,0,0
KRR1,722,4042,2423,1628,4999,1613,2109,4482,2000
FAM64A,146,39,59,27,139,188,103,126,69
NNT-AS1,0,0,0,0,0,10,0,0,0
MTCL1,2121,224,240,794,1380,1318,667,700,1388
LINC01214,0,0,0,0,0,0,0,0,0
FAM92A1,406,381,377,648,514,240,322,792,384
ATP1A3,0,364,233,23,110,13,388,116,60
ATP1A2,0,5,120,0,0,0,435,0,0
C8orf49,0,9,0,36,0,0,0,0,0
C8orf48,0,17,6,0,0,0,0,0,0
C8orf46,0,0,0,0,0,0,0,0,0
C8orf44,9,66,0,45,31,11,11,124,48
TP53I3,962,1878,1497,2503,1578,1642,1816,1720,3457
MB,0,0,0,0,0,29,3,0,119
DUX4L7,0,3,0,3,0,0,0,0,0
DUX4L6,0,3,0,3,0,1,1,0,0
DUX4L5,59,3,34,4,1,8,3,0,0
DUX4L4,63,53,35,296,3,137,40,18,2
DUX4L3,126,9,110,23,4,9,3,0,0
