,NDB1,NDB2,NDB3,NDB4,DCB1,DCB2,DCB3,DCB4,DCB5
LOC727924,0,0,0,0,0,0,0,0,78
LOC151484,0,0,0,0,0,0,0,0,0
RBP2,0,12,66,44,13,20,10,0,193
RSPH6A,0,3,14,3,9,19,0,0,41
HAVCR1,0,50,0,692,180,0,0,96,100
HAVCR2,120,486,378,287,987,347,98,892,253
MT1IP,0,0,0,0,0,0,0,0,0
NDUFAF4P1,0,0,3,7,3,3,6,28,0
DMGDH,0,40,29,0,19,25,105,46,0
CREBL2,222,369,543,589,854,575,399,1090,453
PLIN4,186,647,446,519,274,325,700,662,604
PLIN5,0,0,0,0,0,0,0,0,0
PLIN2,381,685,753,1199,901,1371,959,1936,1258
PLIN3,285,1242,459,712,1290,1228,1534,658,853
PLIN1,0,15,7,36,10,20,14,0,0
EIF3J-AS1,0,0,0,0,0,0,0,0,0
SMAP1,816,1472,623,1119,695,914,942,904,700
SMAP2,731,1814,1283,1525,1810,1264,1127,2448,1305
PALM2-AKAP2,0,966,161,1609,0,287,1324,0,134
LINC00254,0,0,0,0,0,0,0,0,0
CYP2A13,0,0,10,0,0,0,0,0,0
ACYP2,59,66,67,38,139,121,59,154,122
ARPC1B,5671,4171,2017,5196,2332,3530,3287,1888,3706
ARPC1A,4440,14177,4511,4355,6227,7882,7175,6948,6693
EGFL7,208,194,30,176,33,93,339,24,55
EGFL6,91,857,757,38,567,581,170,8300,149
CYTIP,33,798,571,848,1938,304,211,2118,484
C20orf166,0,0,0,0,0,0,0,0,0
EGFL8,74,3,0,0,17,233,323,18,49
HTR5A,0,0,0,0,0,0,0,0,0
TMEM120B,669,597,383,708,493,641,704,1082,854
TMPRSS4-AS1,0,0,0,0,0,0,0,0,0
TMEM120A,511,1025,522,542,461,505,703,512,671
KREMEN2,0,55,76,19,82,323,182,148,94
THAP10,92,55,114,30,132,57,82,66,93
LINC00433,0,0,0,0,0,0,0,0,0
NEK10,0,107,111,107,47,69,32,288,0
NEK11,160,247,422,1056,337,491,301,486,796
WISP2,0,14,48,0,0,0,313,0,0
WISP3,0,9,0,0,17,190,3,0,145
WISP1,218,484,236,256,40,83,177,146,124
MNT,576,1090,442,872,1980,1102,1277,1070,671
IGF2-AS,0,0,0,0,0,0,3,0,0
IL22RA2,0,0,0,30,0,22,0,0,0
IL22RA1,127,239,116,177,206,410,645,286,157
HINT3,107,258,92,193,197,243,131,144,82
FLYWCH2,225,64,307,429,332,324,101,558,293
FLYWCH1,881,1035,481,422,710,1338,531,1402,1675
MN1,386,104,68,85,118,396,555,228,3
ANKRD27,2527,3389,2236,3265,3311,2839,3580,5242,5330
ANKRD26,1018,7704,4086,4005,6736,2979,4495,9000,4755
LINC00928,0,0,0,0,0,0,0,0,0
LINC00929,0,0,0,0,0,0,0,0,0
ANKRD23,84,234,96,143,158,148,243,376,218
ANKRD22,60,407,392,765,727,1041,1053,468,178
LINC00922,0,0,0,0,0,0,0,0,0
LINC00923,5,5,57,0,11,9,26,14,36
PTGES,874,145,69,64,137,65,189,186,50
LINC00921,0,0,0,0,0,0,0,0,0
LINC00926,0,0,0,0,0,0,0,0,0
LINC00927,0,0,0,0,0,0,0,0,0
PBK,539,924,495,366,910,461,615,1618,370
ANKRD28,1195,6648,5293,5358,5943,3242,2992,12312,3084
HR,2275,4056,2671,899,7794,9437,4036,6146,1067
TRIM31,0,15,74,1104,1783,68,371,7584,469
MIR1283-1,0,0,0,0,0,0,0,0,0
MIR1283-2,0,0,0,0,0,0,0,0,0
LOC283922,1586,1653,3833,4243,5595,4060,3259,8448,4165
LOC102723641,0,0,0,0,0,0,0,0,0
MLXIP,3699,4523,2461,4404,2454,2184,3123,3026,3406
ADC,229,136,120,571,93,52,168,222,194
ADA,3192,3613,973,1213,3017,1192,1621,1790,6848
ADO,64,96,48,58,89,44,44,122,42
ADM,338,674,133,226,1737,594,853,478,375
ADK,5780,6281,4960,2990,18974,8604,9246,12796,4489
PPIL1,1409,1235,540,752,956,616,1029,1844,621
VIPAS39,1620,4074,2614,2961,2872,3016,3383,4426,3294
LOC100128494,2152,5081,2431,2989,3865,3397,3612,4454,3288
TM4SF1-AS1,0,0,0,0,0,0,0,0,0
CD200R1L,0,22,0,0,0,439,126,374,280
AKR1C3,6329,1302,290,8824,1051,1461,2198,3090,5452
KALRN,519,818,1235,1377,435,2601,2070,490,550
JUNB,4010,2792,1691,2239,10954,6824,10202,4694,5161
JUND,399,2354,806,594,9268,1163,1294,1274,500
HIST1H2AM,5401,5502,3109,984,10646,7889,7096,11358,4217
HIST1H2AL,6632,4894,2186,1544,8310,4969,6777,7940,4341
HIST1H2AI,4868,4919,2691,1511,5223,5589,5611,8616,2720
HIST1H2AH,5544,2515,1528,1783,5759,4710,3527,6094,1986
HIST1H2AK,674,1104,380,538,2437,1947,1278,2248,1243
HIST1H2AJ,4800,4717,2727,967,6354,5427,2345,7968,2388
HIST1H2AE,4104,4141,1485,725,5238,2913,3601,5236,1855
HIST1H2AD,547,3630,1845,982,6967,5701,5183,7292,2674
HIST1H2AG,9657,7553,4006,2643,17950,9567,11138,20472,6917
HIST1H2AA,0,0,0,0,0,0,0,0,0
HIST1H2AC,3791,6342,3150,3034,8734,8754,11791,10278,4820
HIST1H2AB,576,729,124,126,845,638,608,1002,387
H1FX-AS1,0,0,0,0,0,0,0,0,0
OR4N3P,0,0,19,0,0,17,0,0,81
MOV10,6524,6115,4173,5600,12225,9261,8431,19348,9530
MOCS3,80,150,87,108,174,75,84,214,127
MOCS2,500,1657,1538,1751,1807,1616,1219,2660,952
MOCS1,256,1542,284,1806,204,1045,301,474,304
LOC100134868,0,0,0,34,18,28,14,14,14
LOC101927817,0,0,0,0,6,0,0,0,0
UCKL1,1695,1416,1327,2093,1864,1762,2140,3334,1715
SLC30A9,1623,4024,2191,4544,4806,2212,2290,5162,2110
CD1D,0,11,10,25,13,0,51,0,0
CD1E,0,0,17,0,18,136,20,0,0
CD1B,0,0,0,0,0,0,0,0,0
CD1C,0,0,138,34,11,232,0,66,0
CD1A,89,0,22,0,52,440,0,18,75
CELF6,57,50,141,9,179,35,297,402,175
CELF5,0,9,0,0,0,0,0,0,0
CELF4,0,5,0,40,0,0,0,0,0
CELF3,0,0,0,0,0,0,0,0,38
CELF2,105,599,399,1708,976,290,333,1582,480
CELF1,3205,5530,2723,3070,5468,4025,3575,6444,3965
TANGO6,2274,1433,1701,2072,2521,1902,2436,7278,2976
TANGO2,471,395,213,484,525,536,520,482,599
SPATA31A1,0,72,0,0,24,0,0,0,0
SPATA31A3,0,17,40,0,6,0,17,0,0
SPATA31A5,0,62,159,0,18,0,51,0,0
MC4R,0,0,0,0,0,10,0,18,0
SPATA31A6,0,60,0,0,12,0,0,0,0
HAGLR,0,0,0,0,0,9,0,0,9
ADAM32,73,201,130,149,189,67,37,68,288
RHOQ,312,866,620,624,532,257,498,772,608
PPARG,0,90,492,1367,319,54,797,4620,115
PPARD,1184,2839,940,1831,1894,2770,2873,1634,1954
ADAM33,45,580,309,1185,136,168,2466,136,52
OR52A5,0,0,0,0,7,0,0,0,0
PPARA,456,3340,991,1649,1337,2349,1952,2498,1879
SPAM1,0,0,0,0,0,0,0,0,0
XGY2,0,44,1,2,10,61,9,0,1
CD14,681,794,381,372,831,482,517,810,245
OR10V2P,0,0,6,111,3,0,6,0,17
BTN1A1,0,0,0,0,28,0,33,30,7
CD19,29,105,192,309,365,197,242,1038,742
ENPEP,76,592,92,172,80,157,196,120,40
MIR510,0,0,0,0,0,0,0,0,0
PTX3,0,14,0,0,0,0,0,0,0
PTX4,0,0,0,0,0,42,0,0,57
SUV420H1,879,3710,2131,3060,3845,2249,2636,4584,2436
DDB2,1846,3525,2019,2597,5366,4176,4361,5432,2651
DDB1,10596,15878,7933,11090,16357,11729,12970,21944,11458
OR4F15,2,3,6,0,0,0,0,0,0
OR4F16,178,1095,1124,177,366,2637,306,474,378
OR4F17,0,15,0,237,8,0,0,0,0
SMAD1-AS2,0,0,0,0,0,0,0,0,0
FLJ33581,0,0,0,0,0,0,0,0,0
PLCG2,1200,2630,1356,2064,2313,1432,2383,4018,1713
PLCG1,3750,6866,3575,4043,4655,5025,5327,7936,4832
BSND,0,3,0,0,0,0,0,0,0
HIST2H4B,0,2,2,2,2,2,6,4,2
OR8A1,0,3,0,0,0,0,0,0,0
HIST2H4A,28176,21588,17755,6986,28878,23955,26204,32272,16551
C1orf116,715,1241,1076,485,1683,689,4018,1898,230
CTD-2201E9.1,0,0,0,0,0,0,0,0,0
N4BP1,1022,3601,3262,2087,5870,4360,3186,5348,2859
N4BP3,116,308,164,101,371,572,284,248,161
N4BP2,2371,2182,1801,4872,4797,2738,1587,6068,2317
HEATR6,604,1633,1460,827,1636,813,1207,1900,817
HEATR4,8,57,174,19,113,77,30,434,59
HEATR2,3933,1585,827,1221,1101,808,1670,2116,997
HEATR3,1132,1101,613,965,1353,1229,1075,1870,1456
HEATR1,7212,11213,7199,5507,11737,5469,7110,18088,6518
HEATR9,160,218,72,89,80,34,36,340,150
GANC,1606,2970,2201,2227,4476,2320,4049,5204,2726
LOC101929663,0,0,0,0,0,0,0,0,0
LOC101929664,0,45,0,0,100,121,63,0,0
DEDD,1531,1208,696,890,1421,1072,3380,4220,2617
KLRK1,22,315,25,23,1279,23,17,4002,47
FUCA1,1011,1487,1508,2834,2690,1581,1587,2642,2101
FUCA2,1845,1352,1054,3185,1320,1031,904,2390,1592
LOC100288162,1899,1690,1222,952,2451,2215,2168,2066,1865
SYCP2L,0,76,0,78,0,3,0,0,15
IKBKB,3479,5138,2450,3652,7042,6205,5625,8822,5286
FCGR1C,610,518,942,750,887,554,465,2876,441
IKBKG,6173,7068,3450,1782,12514,8174,5278,7346,7614
FCGR1A,726,1151,3105,1208,2842,1290,1674,3382,1053
IKBKE,1100,2132,1036,1107,1983,1816,1377,2376,1660
ENTHD2,195,371,226,211,424,358,399,940,350
ENTHD1,0,6,0,0,34,0,0,12,0
GNL3,1715,3857,2359,4408,4667,3096,2911,7788,2267
GNL2,2627,6923,2676,2626,6664,2934,2873,8232,2842
GNL1,1483,1427,1070,1538,3802,2648,2553,3350,2205
DYRK1A,2998,4874,4772,5750,10808,5404,5080,9544,10586
DYRK1B,128,252,337,492,435,305,411,890,404
UXT-AS1,0,14,0,0,0,0,9,0,0
LOC101929084,0,0,0,0,0,0,0,0,0
GNLY,514,298,93,207,1366,388,266,622,305
LOC101929080,0,0,0,0,0,0,0,0,0
SMARCAL1,2372,1586,953,3861,3954,2761,4413,5042,4281
IMPA1,466,750,481,531,1301,736,962,2286,883
IMPA2,544,655,491,877,1244,2452,1482,1576,813
KITLG,399,673,491,1295,987,364,1221,1616,1464
RSPO4,0,24,0,0,0,0,3,0,0
DIXDC1,132,590,576,949,152,86,459,334,103
PLAGL2,413,874,500,336,1078,407,459,1226,595
PLAGL1,105,128,85,156,38,54,73,132,75
FAM24A,0,0,0,0,0,0,0,0,0
FAM24B,44,58,64,0,53,34,2,74,8
C1orf112,2190,2495,2854,2411,3583,2807,4013,5560,4064
METRNL,143,188,171,143,385,634,441,324,244
C1orf111,0,9,27,13,42,0,264,172,515
IGFL3,0,54,0,0,0,0,9,0,0
IGFL2,132,61,37,0,0,0,88,0,0
VANGL2,2908,2303,924,644,2665,3738,3033,100,2546
MTDH,4530,8935,3735,4607,6806,3787,4057,5930,3369
CBWD2,7155,12358,8696,7785,18828,10060,10514,24020,9558
MADD,3492,5301,3377,4266,6552,4710,5841,9550,5386
C1orf115,83,45,0,25,31,6,55,44,126
EXO1,2524,3022,2785,1762,5755,2625,4723,9224,4494
EXO5,327,230,426,215,367,435,176,1068,384
LRRTM4,0,31,0,101,19,0,45,0,0
LRRTM1,0,6,0,0,0,0,17,0,0
LRRTM3,0,0,0,0,0,0,0,0,0
LRRTM2,327,482,509,629,1099,872,478,1584,433
SLC46A2,39,40,8,50,11,20,83,180,100
SLC46A3,25,150,197,280,138,38,67,152,57
SLC46A1,337,256,273,1054,479,334,204,366,286
OR51G2,0,0,0,0,0,0,0,0,0
OR51G1,0,0,0,0,0,0,0,0,0
PTPN23,1900,2623,1875,3130,1773,3222,2723,3594,1782
AGMAT,213,44,189,238,32,71,80,150,136
RFK,456,359,498,3908,397,304,201,562,237
EXOG,235,317,242,310,199,367,139,548,194
EPAS1,20772,14415,12997,18205,29092,12935,33768,25046,26935
SERPINA12,0,17,0,0,0,0,0,0,0
SERPINA10,53,79,105,83,168,105,0,0,0
SERPINA11,0,2,0,0,0,0,0,0,0
ADHFE1,69,63,138,81,352,197,124,20,552
PWAR5,31,38,142,204,254,88,63,198,505
PWAR4,0,0,0,0,0,0,0,0,0
PWAR1,0,0,0,0,0,0,0,0,0
H1FX,383,555,836,655,1820,2103,1011,1638,848
LOC101927950,0,0,0,0,0,0,0,0,0
SDR9C7,14,73,66,0,15,648,107,0,122
SOX21,0,179,337,558,578,655,728,714,378
H1F0,997,2559,2378,2838,3786,4299,4290,7112,2076
RCL1,1129,1143,754,651,1483,505,836,2506,476
LOC81691,460,626,449,487,668,1017,939,1068,1263
FIGNL1,250,1005,623,461,1292,627,548,1560,827
CLU,3077,1476,4298,2933,896,1034,21158,876,3117
CHAMP1,1562,1727,447,594,2380,931,1426,964,334
KNG1,0,0,0,28,13,0,0,54,19
LOC392196,0,817,757,116,420,1111,303,100,310
ITGA11,288,1855,3220,1350,187,208,1712,904,271
COBL,0,1055,307,1483,143,310,1112,0,0
PNPT1,2046,3129,1972,1777,4202,1160,2945,4220,2804
ALKBH7,69,189,90,104,216,79,164,202,61
ALOX15,0,6,26,0,108,20,0,2888,311
ALOX12,998,1024,199,245,744,398,2500,990,423
SEMA6D,29,82,86,100,1732,376,309,46,665
SEMA6B,194,381,108,426,173,83,305,0,475
SEMA6C,6,430,670,208,318,192,396,738,633
SEMA6A,190,1240,265,1489,2207,1387,615,350,1009
BRWD1-AS1,0,0,0,0,0,0,0,0,0
INPPL1,9686,5198,3673,5989,5973,5089,7074,7782,6029
ALKBH4,93,89,36,45,37,86,97,122,63
ADCK4,888,876,602,861,1053,786,1035,794,1271
ADCK5,769,532,272,429,286,378,640,264,478
ADCK2,1220,1995,408,634,1056,748,1008,1586,867
ADCK3,1765,2227,2173,1906,2560,2007,4137,5566,2910
ADCK1,416,307,263,291,394,536,419,588,536
SCN2B,0,0,0,0,0,0,0,0,0
SCN2A,730,55,5236,385,0,19614,432,1816,128
ASF1A,526,757,602,951,844,823,491,946,732
ASF1B,496,142,382,232,459,558,435,512,428
LMAN1,5513,7112,7625,15450,16369,7182,8686,13894,8307
LMAN2,2858,11009,2209,3068,5180,4511,3869,5038,1778
SH3BGR,18,102,48,110,44,54,45,54,80
ACTG1,126471,139784,102817,168231,269277,282811,238718,188676,109010
ACTG2,209,134,394,114,13,0,874,34,72
SNORA21,4596,1010,1672,1185,1448,1984,880,3106,1028
SNORA24,6035,1915,2661,2773,5650,4859,2165,4938,1168
PRPF39,1289,3293,2054,2938,4568,3111,2975,9276,3247
PRPF31,4620,4974,3578,3083,4403,3765,4877,8768,4944
SPOPL,849,1601,1290,1210,1339,991,867,1650,908
RLBP1,0,5,0,0,6,0,0,52,0
ZNF207,4361,12079,5044,6408,12173,8803,8169,9856,7158
ZNF205,187,124,115,88,92,101,66,262,141
ZNF202,241,692,224,312,507,369,254,666,289
ZNF200,111,357,166,269,562,326,271,656,287
IDH2,2295,12763,5211,8671,17084,13789,7713,7488,9790
IDH1,1833,1381,1657,4947,3821,2472,3592,4274,10113
OR7A10,0,0,0,0,1,0,0,0,0
ZNF208,45,709,3265,3061,278,405,4853,576,202
PASK,1391,1471,508,1899,4284,1901,3743,6124,3127
KRTAP27-1,0,0,0,0,0,0,0,0,0
XAF1,3988,2968,1680,4259,8903,4026,7992,5078,4125
DUX4,128,363,234,1350,12,1755,409,18,12
DUX2,13,57,45,199,2,224,42,0,1
SNORD119,0,1,0,0,0,1,0,0,0
GLYR1,2017,4770,1904,3648,5807,3921,3463,5464,2965
SNORD117,61,20,21,9,35,19,15,70,27
SNORD110,62,38,60,84,26,47,33,104,54
SNORD111,61,24,39,61,49,83,51,142,113
PTOV1-AS1,0,104,122,344,161,195,184,336,312
DUXAP10,0,68,0,0,6,0,16,0,0
NPPC,0,0,0,0,0,0,0,0,0
NPPA,0,59,60,34,19,109,30,278,0
FRZB,0,451,670,19,287,38,758,416,161
LOC101928438,0,0,0,0,0,0,0,0,0
DECR1,542,2328,1032,1221,2619,1182,873,3100,1759
DNER,6,15,0,147,0,0,5,0,0
LINC01338,0,0,0,0,0,0,0,0,0
OR5C1,0,3,3,3,6,6,0,0,3
LINC01330,0,0,0,0,0,0,0,0,0
PALB2,2806,7019,5224,5465,9667,7191,5448,13836,5605
LINC01333,0,0,0,0,0,0,0,0,0
SNORD11B,2,0,0,0,1,1,0,0,0
LINC01335,0,0,0,0,0,0,0,0,0
FAM35DP,517,315,206,791,340,163,216,1262,463
DUXA,0,0,0,0,0,0,0,0,0
ALKBH3-AS1,0,0,0,0,0,0,0,0,0
HERC6,860,1476,1620,1775,10288,5356,4256,2702,4134
RPS15A,7133,17322,10238,7119,15643,8362,8558,13298,4785
LHFP,290,194,169,158,91,158,326,0,17
NSMAF,1448,3238,2152,2190,3652,2446,1464,3622,2086
MIR4417,0,0,0,0,0,0,0,0,0
SIK1,7443,2292,1677,7288,13056,2074,2516,2778,2016
SIK3,1428,2589,1361,2555,5239,3083,3502,5838,1456
SIK2,812,1849,1136,1966,3284,2295,2619,4114,1712
CST9L,0,0,0,0,0,0,0,0,0
DUS3L,888,1847,379,1019,1932,1205,1592,3146,1731
QARS,3353,12397,6042,7796,6877,7782,6551,18258,4095
RAB9A,101,512,379,472,757,651,726,1612,473
RAB9B,0,10,14,0,0,11,27,0,0
LOC100506123,0,9,15,0,21,7,15,20,8
LOC102724246,0,0,0,0,0,0,0,0,0
LIPA,1413,2145,3449,2474,6254,1382,2189,4510,1653
CUTA,965,1270,710,517,701,423,743,1076,456
BPGM,310,857,697,1048,1535,2023,1560,792,343
CUTC,706,1377,643,768,1216,295,777,1860,349
LIPC,0,10,0,0,15,0,0,0,0
MCF2L-AS1,0,0,3,0,0,3,0,0,0
ATP11C,2387,3605,2519,2100,5294,2033,874,5734,2476
ATP11B,1922,14988,12797,10408,17760,24266,17525,19844,16963
ATP11A,6501,6808,4101,8803,3967,3356,7512,2300,6441
SHANK2-AS3,0,4,42,30,0,75,57,0,0
SHANK2-AS1,0,0,0,0,0,6,0,0,0
HPCAL4,0,0,0,0,0,0,0,0,0
LIPI,0,58,132,84,99,207,102,0,214
LIPH,62,1084,3437,6564,3400,1606,5059,1284,179
OGDHL,0,20,0,0,0,22,199,0,0
PI16,0,0,17,0,0,0,14,0,0
PI15,0,220,29,211,64,46,773,0,0
CEP68,573,986,968,1147,1223,1216,927,2034,1163
CEP63,961,2531,2640,3239,4247,4715,2256,3580,4525
OR5B12,0,9,6,0,6,0,0,0,0
OR5B17,0,14,0,0,0,0,0,6,0
COQ10A,195,131,187,262,191,35,172,328,132
C17orf51,0,17,5,10,0,3,0,0,0
MCIDAS,38,7,13,0,34,11,9,0,0
GAGE2C,0,202,4,0,12,0,0,20,0
PRR32,0,14,0,0,0,0,0,0,0
LOC728739,0,0,0,0,0,0,0,0,0
A4GALT,2187,1132,1107,1480,1282,3299,2563,7436,1103
LOC728730,0,0,0,0,0,0,0,0,0
CTRL,60,46,151,117,257,185,148,316,273
CTRC,5,39,0,0,11,0,0,0,0
TRMT61A,282,153,151,120,136,142,167,396,119
TRMT61B,274,365,478,277,608,276,272,932,581
ZFYVE9,1798,3975,2483,1553,9244,2710,3849,10514,3801
ZFYVE1,229,1356,1076,678,1356,1202,1106,1716,899
LDOC1,17,38,519,153,11,286,247,0,19
SCGB2B3P,0,0,0,0,0,4,0,0,5
RXFP1,0,43,84,25,50,24,212,0,19
CCDC88A,2974,8075,3964,3658,6839,3611,5325,18856,7488
CCDC88B,269,756,278,749,905,1664,599,1514,2206
RXFP2,0,0,0,0,0,0,0,0,0
RXFP4,6,25,0,0,3,0,3,0,10
MPEG1,122,658,460,386,765,188,204,1450,236
QTRT1,2056,1037,343,428,1273,381,953,952,600
FBXL8,283,103,101,374,161,194,344,544,200
MIR3913-2,0,0,0,0,0,0,0,0,0
LOC102723562,0,0,0,0,0,0,0,0,0
MIR3913-1,0,0,0,0,0,0,0,0,0
ROBO1,972,6448,4246,3122,7553,6866,3068,9468,3497
ROBO3,467,230,145,112,87,1067,96,98,15
FBXL2,260,387,300,1061,39,116,291,194,79
SIGLECL1,0,0,0,0,0,0,0,0,0
ROBO4,277,519,56,378,102,269,448,34,54
FBXL7,109,181,161,262,6,192,243,0,37
FBXL6,1203,1780,377,384,411,353,539,858,402
NIPSNAP3A,1055,975,851,1640,1430,1288,1878,1194,1294
CTR9,1044,5481,1579,2923,8825,3348,4910,8540,2778
NIPSNAP3B,0,25,116,293,85,48,25,0,38
LOC100132062,0,13393,7138,11921,22596,50562,13363,24650,12894
LOC100505776,0,0,0,0,0,0,0,0,0
TRAF3,3002,4192,3241,4485,7600,3494,3473,8222,7120
RNH1,3756,3320,1145,2224,2997,3518,4109,3264,1452
TRAF4,4026,1854,943,2901,5016,1975,1505,2972,4391
SOX21-AS1,0,0,0,0,0,4,0,0,0
MRPL41,53,62,26,34,30,30,61,84,26
MIAT,0,0,9,11,0,0,0,10,0
LOC101928847,0,0,0,0,0,0,0,0,0
LOC101928844,0,0,0,0,0,5,12,0,0
TRH,0,0,0,0,0,11,0,0,0
MRPL45,871,916,866,1313,1225,1218,1673,1426,924
TRO,33,284,276,340,49,434,443,26,27
LOC729950,0,0,0,0,0,0,0,0,0
SLC26A1,42,118,107,242,111,112,174,702,213
SLC26A2,1727,2022,2890,2813,3322,2062,2166,32070,555
SLC26A3,0,102,0,0,15,0,0,82,0
SLC26A4,0,199,83,0,56,46,335,0,0
SLC26A5,42,176,167,84,116,166,54,0,113
MIA3,2939,3905,4055,4780,7715,3805,5895,11934,5366
MIA2,0,6,0,471,0,19,41,0,0
SLC26A8,0,29,58,28,13,6,82,174,87
SLC26A9,0,2232,216,1842,1003,1632,742,2448,994
TRIP4,1300,2067,1238,2242,2021,2127,3025,3448,2288
LOC101060351,795,412,919,905,1374,2081,1617,3408,2120
HTT,14901,13740,9340,16764,18997,12015,13206,29802,11670
NGF,45,30,0,0,0,0,81,0,0
DIABLO,1993,4460,3668,4735,4364,3884,5135,8042,3444
LINC00051,0,0,0,0,0,0,0,0,0
LOC100506159,0,0,0,0,0,0,0,0,0
KIAA1586,275,835,828,504,622,662,1647,2044,524
XKRY2,0,0,0,0,0,0,0,0,0
LRRC8E,329,229,73,134,512,278,228,360,178
LRRC8D,1107,1612,1439,1281,3228,1131,2453,8028,2200
LRRC8A,4239,7033,3396,3130,9178,6169,9566,8144,8629
ELL,405,720,319,428,980,724,794,564,553
LRRC8B,252,720,726,735,2537,1867,1676,5460,2006
MSTO2P,2423,1992,964,1726,1531,1194,2283,2280,3783
HDC,23,326,140,938,347,114,1311,114,829
TOR4A,739,205,126,277,221,186,512,34,714
ARFGAP3,1345,2889,1822,3760,3829,2341,2345,4376,1911
MAGEB18,0,0,0,0,0,0,0,0,0
MAGEB10,0,22,0,0,0,0,0,0,0
C21orf67,0,56,30,0,20,24,51,0,36
C16orf3,368,30,83,559,99,583,144,320,303
CDC42P3,0,14,6,9,30,38,23,28,37
C21orf62,34,18,87,2,13,36,9,20,76
GPR52,879,492,807,708,977,535,1227,2218,1679
GPR50,0,0,0,0,0,0,17,60,0
GPR56,9158,4502,4455,9368,7106,14784,8398,4578,11017
GPR55,0,15,0,0,9,42,0,0,0
FAM83C,0,463,243,9,621,541,417,608,289
FAM83B,2579,6548,4194,2179,6748,8544,8155,14820,6606
FAM83A,4506,2561,740,401,2245,3891,5203,2432,6614
FAM83G,1621,1964,709,487,3756,4556,2031,1426,583
FAM86B3P,394,238,132,256,192,91,366,126,297
FAM83E,14,171,139,457,869,152,381,1362,561
FAM83D,4262,2366,1364,1584,3614,4371,2950,5290,3175
CD164L2,0,120,0,0,25,81,66,42,0
NEK2,852,2090,1607,668,2427,1358,1305,4494,1153
NPM1,35988,103468,31383,24449,71092,25878,28368,55646,13260
NPM3,1095,1118,130,287,396,147,375,876,185
NPM2,0,6,41,14,53,44,126,96,0
PEMT,441,460,171,221,332,312,354,288,202
CCSAP,371,1211,555,285,1372,651,737,1730,919
TMEM27,87,14,0,0,75,27,57,0,0
TMEM26,11,64,41,0,85,0,77,186,0
TMEM25,208,430,200,68,130,310,216,368,201
DGCR11,6,3,9,6,8,11,11,10,3
DGCR10,0,0,0,0,0,0,1,0,0
DGCR14,312,265,180,327,710,500,503,534,347
MIR30E,12,2,2,10,4,22,3,26,15
MIR30D,4,2,0,0,3,2,0,0,1
MIR30A,0,0,0,9,0,0,0,0,0
PPP3R2,0,3,0,0,0,0,0,0,0
PPP3R1,608,2047,1441,1028,3811,948,1434,2374,1693
MIR30B,6,2,5,0,1,0,0,2,0
SCG5,14,99,71,52,24,21,48,0,0
SCG3,0,0,0,16,0,9,0,10,0
SCG2,30,14,14,38,0,0,14,34,0
AP5S1,37,228,82,80,49,148,162,130,65
LOC100996590,0,0,0,0,0,0,0,0,0
LOC101927204,0,0,0,0,0,0,0,0,0
LOC101927207,0,0,0,0,0,0,0,0,0
C10orf113,31,39,105,21,23,226,105,248,70
BYSL,571,704,190,291,298,229,488,792,252
C10orf111,0,0,0,0,0,0,0,0,0
C10orf115,0,0,0,0,0,0,0,0,0
C10orf118,548,4856,2716,4196,2975,2492,3404,5562,1677
VCY1B,0,0,0,0,0,0,0,0,0
GIP,0,0,0,0,0,0,0,0,0
SCCPDH,619,1539,1067,1352,312,423,410,552,922
GIF,0,57,73,0,21,40,0,0,120
SERP1,1885,2871,2278,3066,3832,3237,4184,2220,1891
MS4A4A,49,148,326,183,362,88,54,318,101
LOC101928471,0,0,0,2,0,0,0,0,0
MIR3138,0,0,0,0,0,0,0,0,0
HM13-AS1,0,2,0,0,0,0,0,0,0
CXorf65,0,31,0,0,21,0,0,0,16
CXorf66,0,0,0,0,0,0,0,0,0
SCGN,0,0,0,0,0,0,0,0,0
COLEC12,0,227,589,95,123,58,173,722,19
MIR300,0,0,3,3,0,0,0,0,0
COLEC10,0,5,17,0,0,0,0,0,0
COLEC11,0,92,19,0,536,56,115,0,40
LRP8,2815,4998,1536,1026,2059,1436,2427,2628,974
LARGE-AS1,0,0,0,0,0,0,0,0,0
LOC101928784,0,0,0,0,0,0,0,0,0
BNIPL,0,2161,672,379,1121,1694,3138,130,2350
MAGI2-AS2,0,0,0,0,0,0,0,0,0
MAGI2-AS3,0,0,0,0,0,0,0,0,0
PAICS,5117,4582,2793,2406,4688,2186,2201,5604,3169
OR1I1,0,0,0,0,3,0,0,0,0
VWA5B2,0,6,0,0,14,3,29,200,7
VWA5B1,0,0,0,0,0,0,0,0,0
VTA1,1673,2339,926,1565,1727,2041,1189,1402,917
PUS7L,736,1768,1879,1877,2319,1682,2010,3384,1743
ZNF492,0,23,49,158,32,22,144,0,0
BNIP1,128,308,167,214,312,140,175,178,54
BNIP2,1585,3027,2208,1493,4223,2143,3040,3502,1795
BNIP3,1069,2355,773,693,545,1268,945,866,222
NAB1,2561,4316,3728,3337,7687,3728,5938,11266,8457
NAB2,371,384,269,383,815,784,677,616,596
MIR3529,0,0,0,0,0,0,0,0,0
CLCC1,1633,3563,2331,2267,3144,3362,2014,7406,2549
AKAP14,0,6,0,38,0,0,0,0,0
AKAP12,355,835,1266,8897,371,217,1764,368,84
AKAP13,9895,20155,19271,36403,26595,23001,29869,35030,25439
AKAP10,965,2276,1386,1837,2914,1743,1669,3914,956
